,Image,Video,Frame,Class,Presence,TorsoBoundingBoxRatio,HeadGroundDistance,BufferedHeadGroundDistance,HeadVelocity,BufferedHeadVelocity,TorsoHeight,BufferedTorsoHeight,Centroid,BufferedCentroid
19,1608737233136218340,1,20,0,0.96,0.2439294804983892,1.0657826394313192,1.0334401130676272,-0.002164188539609313,-0.014540305361151697,1.0949287885625492,1.0587091445922852,0.7032466530799866,0.6870272755622864
20,1608737233414903327,1,21,0,0.92,0.24507466448929124,1.0888366402708478,1.0510926246643066,-0.08702405542135239,-0.017045853659510612,1.1082983505153272,1.0763711929321291,0.7089409232139587,0.694272518157959
21,1608737233693836975,1,22,0,0.96,0.2451745416699773,1.101981230383055,1.0685399770736694,-0.05216222256422043,-0.01685183495283127,1.1261795227248472,1.0947527885437012,0.7144756913185121,0.7021752595901489
22,1608737233900389361,1,23,0,0.92,0.24634454458922656,1.1148631103970918,1.0857322216033936,-0.07010664790868759,-0.016807708889245987,1.139105647381521,1.11096453666687,0.7110227942466736,0.7070286273956299
23,1608737234176899685,1,24,0,0.84,0.2525694554960424,1.1371506893561043,1.1017229557037354,-0.005290700122714043,-0.008912350982427597,1.1661159417585127,1.126925706863403,0.7162689566612244,0.7107909917831421
24,1608737234383946141,1,25,0,0.84,0.2584683351088189,1.163780402083893,1.1213223934173584,-0.13964276015758514,-0.019193125888705254,1.1926651498744056,1.1464729309082031,0.7332858443260193,0.7167988419532776
25,1608737234673693145,1,26,0,0.84,0.2574135583043832,1.1900550155857372,1.141566038131714,-0.09965460002422333,-0.019987186416983604,1.2141402292005126,1.167641282081604,0.7396727204322815,0.7229452133178711
26,1608737235024942429,1,27,0,0.8,0.25619397629038976,1.2252026314977202,1.166210412979126,-0.008242585696280003,-0.013582346960902214,1.2540528807890166,1.1932159662246704,0.7537093162536621,0.7307919263839722
27,1608737235234617109,1,28,0,0.68,0.29462362064041625,1.129875445169751,1.169212818145752,-0.11447567492723465,-0.01453754585236311,1.1537232710108432,1.1961394548416138,0.6367395520210266,0.7159352898597717
28,1608737235441926497,1,29,0,0.72,0.2900251384378628,1.2674057829759584,1.1952638626098633,-0.1147729828953743,-0.02587775513529777,1.267425718354641,1.21640145778656,0.765438437461853,0.7257691621780396
29,1608737235725106308,1,30,0,0.68,0.3225480304138996,1.1530767851385866,1.1931231021881104,0.1004461720585823,-0.015351551584899426,1.1815962162843727,1.2141876220703125,0.6575396060943604,0.7106199264526367
